date,home_team,away_team,home_score,away_score,H_rank,A_rank,Rank_diff,Rank_value,H_attack,H_defence,A_attack,A_defence
22/01/2012,Lebanon,Iraq,1,0,124,80,44,0.22,0.802694853,1.384429967,1.325991708,0.501440298
29/02/2012,Australia,Saudi Arabia,4,2,25,100,-75,-0.375,2.096968948,0.292917042,1.01330038,1.001968101
29/02/2012,Iran,Qatar,2,2,50,94,-44,-0.22,2.196917231,0.288903014,1.204152231,0.954653674
29/02/2012,United Arab Emirates,Lebanon,4,2,119,124,-5,-0.025,1.572949282,0.864271715,0.645301929,1.024100184
27/05/2012,Oman,Lebanon,1,1,93,124,-31,-0.155,1.128420311,0.568146564,0.511490854,1.119413409
03/06/2012,Japan,Oman,3,0,25,93,-68,-0.34,2.12049091,0.640792507,0.757470977,1.168573978
03/06/2012,Lebanon,Qatar,0,1,124,94,30,0.15,0.854017358,1.31237785,1.584999137,0.683377572
08/06/2012,China PR,Vietnam,3,0,75,118,-43,-0.215,1.651921334,0.616854351,1.47592472,1.169419953
08/06/2012,Oman,Australia,0,0,93,25,68,0.34,0.765496877,1.077657964,2.631617807,0.258389932
08/06/2012,Qatar,South Korea,1,4,94,31,63,0.315,1.264158136,1.179979562,1.578621714,0.622334992
12/06/2012,Australia,Japan,1,1,25,25,0,0,1.822026953,0.678910527,1.724104235,0.507115236
12/06/2012,Iran,Qatar,0,0,50,94,-44,-0.22,2.196917231,0.288903014,1.204152231,0.954653674
12/06/2012,Iraq,Oman,1,1,80,93,-13,-0.065,1.273491511,0.768734457,1.040532866,0.966949848
12/06/2012,South Korea,Lebanon,3,0,31,124,-93,-0.465,1.726879065,0.169455905,0.192402907,1.346698792
24/06/2012,Iraq,Lebanon,1,0,80,124,-44,-0.22,1.387134203,0.609190483,0.444585317,1.167070022
05/07/2012,Saudi Arabia,Iraq,0,1,100,80,20,0.1,1.235967763,1.032455487,1.202473792,0.589421737
06/09/2012,Japan,United Arab Emirates,1,0,25,119,-94,-0.47,2.215804135,0.506981432,1.134534926,1.254957463
06/09/2012,Lebanon,Australia,0,3,124,25,99,0.495,0.601070723,1.667491857,2.791161781,0.14474724
11/09/2012,Japan,Iraq,1,0,25,80,-55,-0.275,2.072834297,0.707698044,0.816480307,0.864363732
11/09/2012,Lebanon,Iran,1,0,124,50,74,0.37,0.692718054,1.538827362,2.394725959,0.178548483
16/10/2012,Iran,South Korea,1,0,50,31,19,0.095,1.965965955,0.613137542,1.352172203,0.783634296
16/10/2012,Iraq,Australia,1,2,80,25,55,0.275,1.024210769,1.118701883,2.56471227,0.306046544
14/11/2012,South Korea,Australia,1,2,31,25,6,0.03,1.363955631,0.678967306,2.312529859,0.485675314
14/11/2012,Oman,Japan,1,2,93,25,68,0.34,0.765496877,1.077657964,2.074071661,0.257834493
14/11/2012,Qatar,Lebanon,1,0,94,124,-30,-0.15,1.60508621,0.70134764,0.516637434,1.115747516
08/12/2012,Oman,Lebanon,0,1,93,124,-31,-0.155,1.128420311,0.568146564,0.511490854,1.119413409
09/12/2012,Iran,Saudi Arabia,0,0,50,100,-50,-0.25,2.218912591,0.258023535,1.141964875,0.910320769
13/12/2012,Iraq,Syria,1,1,80,134,-54,-0.27,1.423793135,0.557724685,0.943004921,1.271938008
18/12/2012,Oman,Iraq,0,2,93,80,13,0.065,0.967121007,0.794596075,1.166447734,0.61508299
20/12/2012,Iraq,Syria,0,1,80,134,-54,-0.27,1.423793135,0.557724685,0.943004921,1.271938008
05/01/2013,Qatar,United Arab Emirates,1,3,105,86,19,0.095,1.42545744,0.95353005,1.716098444,0.840711524
06/01/2013,Saudi Arabia,Iraq,0,2,105,100,5,0.025,1.290956162,0.95525679,1.125275095,0.644410136
08/01/2013,Qatar,Oman,2,1,105,98,7,0.035,1.469448159,0.891771093,1.143464462,0.893631983
11/01/2013,United Arab Emirates,Oman,2,0,86,98,-12,-0.06,1.598610535,0.828245657,1.045679446,0.963283955
18/01/2013,United Arab Emirates,Iraq,2,1,86,100,-14,-0.07,1.605942322,0.817952497,1.027490079,0.714062108
30/01/2013,Oman,China PR,1,0,98,97,1,0.005,1.011111726,0.732837117,1.3876296,0.782548167
31/01/2013,Qatar,Lebanon,1,0,105,126,-21,-0.105,1.572093171,0.747666858,0.562956652,1.082754477
06/02/2013,Iran,Lebanon,5,0,53,126,-73,-0.365,2.303228136,0.1396522,0.295334503,1.273380927
06/02/2013,Oman,Syria,1,0,98,138,-40,-0.2,1.161413351,0.521827345,1.015057038,1.220615502
06/02/2013,Saudi Arabia,China PR,2,1,105,97,8,0.04,1.279958482,0.970696529,1.423655659,0.756886914
06/02/2013,Vietnam,United Arab Emirates,1,2,142,86,56,0.28,0.963722608,0.951545422,1.906521896,0.705073473
22/03/2013,China PR,Iraq,1,0,97,100,-3,-0.015,1.505285603,0.822717543,1.084102457,0.673737282
26/03/2013,Australia,Oman,2,2,47,98,-51,-0.255,2.00898751,0.416434957,0.844962833,1.106253792
26/03/2013,Iraq,Syria,2,1,100,138,-38,-0.19,1.365138843,0.640069961,1.025350198,1.213283715
